id_ccbh,interpro_go_id
PA4851_00785,F:GO:0003677
PA4851_00785,F:GO:0003700
PA4851_00785,P:GO:0006355
PA4851_00785,P:GO:0019619
PA4851_00785,P:GO:0045893
PA4851_00790,F:GO:0003824
PA4851_00790,F:GO:0005506
PA4851_00790,P:GO:0006725
PA4851_00790,F:GO:0008199
PA4851_00790,F:GO:0016702
PA4851_00790,F:GO:0018578
PA4851_00790,P:GO:0019619
PA4851_00790,P:GO:0055114
PA4851_00795,F:GO:0003824
PA4851_00795,F:GO:0005506
PA4851_00795,P:GO:0006725
PA4851_00795,F:GO:0008199
PA4851_00795,F:GO:0016702
PA4851_00795,F:GO:0018578
PA4851_00795,P:GO:0019439
PA4851_00795,P:GO:0055114
PA4851_00800,F:GO:0003677
PA4851_00800,P:GO:0006355
PA4851_00800,P:GO:0045893
PA4851_00800,P:GO:0046278
PA4851_00805,F:GO:0005215
PA4851_00805,C:GO:0016020
PA4851_00805,P:GO:0055085
PA4851_00810,F:GO:0005215
PA4851_00810,C:GO:0016020
PA4851_00810,P:GO:0055085
PA4851_00815,C:GO:0016020
PA4851_00815,F:GO:0022857
PA4851_00815,P:GO:0055085
PA4851_00820,F:GO:0003700
PA4851_00820,P:GO:0006355
PA4851_00825,no IPS match
PA4851_00830,no IPS match
PA4851_00835,C:GO:0016021
PA4851_00840,F:GO:0003677
PA4851_00840,F:GO:0003700
PA4851_00840,P:GO:0006355
PA4851_00840,F:GO:0043565
PA4851_00845,no GO terms
PA4851_00850,C:GO:0009279
PA4851_00855,F:GO:0005215
PA4851_00855,C:GO:0016020
PA4851_00855,C:GO:0016021
PA4851_00855,F:GO:0022857
PA4851_00855,P:GO:0055085
PA4851_00860,F:GO:0003677
PA4851_00860,P:GO:0045892
PA4851_00865,no GO terms
PA4851_00870,no GO terms
PA4851_00875,no GO terms
PA4851_00880,no IPS match
PA4851_00885,F:GO:0003824
PA4851_00885,P:GO:0007165
PA4851_00885,C:GO:0016021
PA4851_00890,F:GO:0000156
PA4851_00890,P:GO:0000160
PA4851_00890,C:GO:0005737
PA4851_00890,P:GO:0006935
PA4851_00890,F:GO:0008984
PA4851_00895,P:GO:0006935
PA4851_00895,F:GO:0050568
PA4851_00900,F:GO:0008757
PA4851_00905,F:GO:0004888
PA4851_00905,P:GO:0006935
PA4851_00905,P:GO:0007165
PA4851_00905,C:GO:0016020
PA4851_00905,C:GO:0016021
PA4851_00910,P:GO:0006935
PA4851_00910,P:GO:0007165
PA4851_00915,F:GO:0000155
PA4851_00915,P:GO:0000160
PA4851_00915,F:GO:0004673
PA4851_00915,C:GO:0005737
